Type_of_client;Age;Gender;Favorite_batter;Favorite_filling;Favorite_frosting;More_toppings;Topping_examples;Configuration;Frequency_of_buying;Occasion;Interest_in_seasonality;Seasonal_option;Product_type;Willingness_to_pay
Adult;29.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;No;None;Slice;Weekly;Work event;No;None;Slice;4.10 €
Adult;26.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Weekly;Work event;No;None;Slice;4.10 €
Adult;65.0;Masculine;;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;24.10 €
Kid;10.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Monthly;Birthday;No;None;Slice;4.10 €
Adult;37.0;Feminine;Lemon;Cream cheese;Chocolate glaze;Yes;Chocolate chips;Wedding cake;Monthly;Wedding;No;None;Wedding cake;78.30 €
Kid;13.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;No;;Slice;Weekly;Snack;No;None;Slice;1.90 €
Kid;6.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Slice;Daily;Snack;No;None;Slice;2.50 €
Adult;55.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Sporadic;Wedding;No;None;Whole cake;37.70 €
Adult;52.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Daily;Gathering;Yes;Halloween;Slice;5.00 €
Kid;7.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Sporadic;Birthday;No;None;Cupcake;2.50 €
Kid;13.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Fruits;Cupcake;Monthly;Celebration;No;None;Cupcake;3.60 €
Adult;59.0;Feminine;Carrot;Cream cheese;Chocolate glaze;Yes;Nuts;Wedding cake;Sporadic;Work event;No;None;Wedding cake;85.20 €
Adult;60.0;Masculine;Carrot;Dulce de leche;Chocolate glaze;No;None;Slice;Weekly;Gathering;No;None;Slice;2.10 €
Adult;46.0;Feminine;Lemon;Cream cheese;Chocolate glaze;Yes;Sprinkles;Slice;Daily;Wedding;No;None;Slice;4.10 €
Kid;9.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Monthly;Snack;No;None;Cupcake;2.30 €
Adult;150.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Work event;Yes;Valentine's Day;Slice;4.40 €
Adult;32.0;Feminine;Lemon;Cream cheese;Chocolate glaze;Yes;Sprinkles;Whole cake;Sporadic;Celebration;No;None;Whole cake;14.00 €
Adult;61.0;Masculine;Lemon;Cream cheese;Ganache;No;None;Wedding cake;Daily;Wedding;No;None;Wedding cake;55.30 €
Adult;31.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Daily;Celebration;No;None;Wedding cake;68.00 €
Adult;48.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Whole cake;Daily;Wedding;No;None;Whole cake;16.90 €
Adult;34.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;No;None;Whole cake;Monthly;Wedding;No;None;Whole cake;33.40 €
Adult;19.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;No;None;Wedding cake;54.30 €
Kid;10.0;Masculine;Chocolate;Strawberry jam;Buttercream;No;None;Cupcake;Daily;Snack;No;None;Cupcake;2.60 €
Adult;43.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;Yes;Chocolate chips;Wedding cake;Daily;Work event;No;None;Wedding cake;70.00 €
Adult;41.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Monthly;Work event;No;None;Whole cake;20.00 €
Kid;6.0;Masculine;Chocolate;Chocolate ganache;Buttercream;Yes;Chocolate chips;Slice;Weekly;Celebration;No;None;Slice;3.30 €
Adult;43.0;Feminine;Lemon;Cream cheese;Chocolate glaze;Yes;Fruits;Whole cake;Weekly;Gathering;No;None;Whole cake;38.00 €
Adult;56.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;Yes;Sprinkles;Wedding cake;Weekly;Gathering;No;None;Wedding cake;85.10 €
Kid;11.0;Feminine;Red Velvet;Strawberry jam;Chocolate glaze;No;None;Cupcake;Monthly;Birthday;Yes;Valentine's Day;Cupcake;2.40 €
Adult;34.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;Yes;Edible flowers;Whole cake;Sporadic;Wedding;No;None;Whole cake;20.50 €
Kid;5.0;Masculine;Chocolate;Strawberry jam;Whipped cream;No;None;Cupcake;Weekly;Snack;Yes;Easter;Cupcake;5.70 €
Adult;22.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Wedding;No;None;Slice;5.20 €
Kid;14.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Cupcake;Daily;Birthday;No;None;Cupcake;1.40 €
Kid;13.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Slice;Sporadic;Celebration;No;None;Slice;3.50 €
Adult;28.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Monthly;Work event;No;None;Slice;2.70 €
Adult;50.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;Yes;Nuts;Slice;Weekly;Gathering;No;None;Slice;4.70 €
Adult;33.0;Feminine;;Dulce de leche;Cream cheese frosting;No;None;Slice;Weekly;Celebration;No;None;Slice;5.90 €
Kid;8.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Weekly;Celebration;No;None;Cupcake;4.80 €
Kid;5.0;Feminine;Chocolate;Chocolate ganache;Buttercream;Yes;Edible flowers;Cupcake;Daily;Celebration;Yes;Halloween;Cupcake;5.10 €
Adult;56.0;Feminine;Carrot;Dulce de leche;Ganache;Yes;Sprinkles;Whole cake;Monthly;Wedding;No;None;Whole cake;13.50 €
Adult;64.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Whole cake;Daily;Gathering;No;None;Whole cake;27.90 €
Adult;53.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;29.10 €
Adult;19.0;Feminine;Lemon;Lemon curd;Ganache;No;None;Slice;Daily;Work event;Yes;Halloween;Slice;3.20 €
Kid;16.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;;Chocolate chips;Cupcake;Daily;Celebration;No;None;Cupcake;5.20 €
Kid;5.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Chocolate chips;Cupcake;Sporadic;Celebration;No;None;Cupcake;4.80 €
Kid;16.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Cupcake;Weekly;Birthday;No;;Cupcake;2.50 €
Adult;42.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;No;None;Whole cake;14.70 €
Adult;23.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Slice;Daily;Celebration;No;None;Slice;4.40 €
Adult;35.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Slice;Weekly;Gathering;Yes;Halloween;Slice;4.80 €
Adult;58.0;Feminine;Lemon;Cream cheese;;Yes;Nuts;Whole cake;Weekly;Wedding;No;None;Whole cake;37.80 €
Adult;44.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Celebration;Yes;Halloween;Whole cake;21.70 €
Adult;43.0;Feminine;Red Velvet;Lemon curd;Ganache;Yes;Sprinkles;Slice;Weekly;Gathering;No;None;Slice;3.00 €
Kid;5.0;Masculine;Red Velvet;Chocolate ganache;Buttercream;Yes;Fruits;Cupcake;Monthly;Birthday;No;None;Cupcake;5.00 €
Adult;47.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Wedding;No;None;Wedding cake;48.00 €
Adult;45.0;Masculine;Lemon;Dulce de leche;Ganache;No;None;Slice;Sporadic;Gathering;No;None;Slice;5.60 €
Kid;14.0;Feminine;Chocolate;Chocolate ganache;Whipped cream;No;None;Slice;Monthly;Snack;Yes;Valentine's Day;Slice;5.20 €
Kid;17.0;Feminine;Chocolate;Chocolate ganache;Whipped cream;Yes;Edible flowers;Cupcake;Monthly;Celebration;No;None;Cupcake;1.90 €
Adult;31.0;Masculine;Carrot;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;Yes;Easter;Wedding cake;78.10 €
Adult;25.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Sporadic;Wedding;No;None;Wedding cake;57.70 €
Adult;64.0;Feminine;Carrot;Lemon curd;Chocolate glaze;No;None;Wedding cake;Weekly;Work event;Yes;Christmas;Wedding cake;41.70 €
Adult;46.0;Masculine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Wedding;Yes;Fall;Whole cake;25.00 €
Adult;65.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Wedding;No;None;Wedding cake;91.50 €
Adult;54.0;Masculine;Red Velvet;Lemon curd;Ganache;Yes;Nuts;Slice;Weekly;Gathering;No;None;Slice;4.80 €
Adult;64.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;No;None;Whole cake;Weekly;Work event;No;None;Whole cake;32.60 €
Adult;48.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Wedding;Yes;Easter;Wedding cake;55.30 €
Adult;40.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;Yes;Nuts;Slice;Daily;Wedding;No;None;Slice;6.00 €
Kid;14.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Sporadic;Snack;No;None;Cupcake;2.40 €
Adult;47.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;Yes;Fruits;Slice;Weekly;Wedding;No;None;Slice;5.60 €
Kid;7.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Edible flowers;Cupcake;Monthly;Snack;Yes;Christmas;Cupcake;5.60 €
Adult;33.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Slice;Weekly;Wedding;Yes;Valentine's Day;Slice;3.70 €
Adult;48.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;Yes;Fruits;Wedding cake;Daily;Work event;No;None;Wedding cake;89.00 €
Adult;58.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Slice;Monthly;Gathering;No;None;Slice;5.20 €
Adult;31.0;Feminine;Lemon;Lemon curd;Ganache;Yes;Chocolate chips;Whole cake;Monthly;Gathering;No;None;Whole cake;12.00 €
Kid;7.0;Masculine;Chocolate;Chocolate ganache;Buttercream;Yes;Nuts;Cupcake;Daily;Birthday;No;None;Cupcake;4.80 €
Adult;59.0;Feminine;Red Velvet;Lemon curd;Ganache;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;11.90 €
Adult;57.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Slice;Monthly;Gathering;No;None;Slice;4.10 €
Kid;6.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Nuts;Cupcake;Weekly;Birthday;Yes;Halloween;Cupcake;5.10 €
Adult;18.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Slice;Monthly;Gathering;No;None;Slice;1.00 €
Adult;19.0;Feminine;Carrot;Cream cheese;Chocolate glaze;Yes;Chocolate chips;Whole cake;Weekly;Work event;Yes;Halloween;Whole cake;25.20 €
Kid;5.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Slice;Daily;Celebration;No;None;Slice;4.20 €
Kid;15.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Slice;Daily;Birthday;No;None;Slice;5.80 €
Adult;65.0;Feminine;Red Velvet;Dulce de leche;Cream cheese frosting;Yes;Chocolate chips;Slice;Weekly;Work event;Yes;Fall;Slice;1.10 €
Kid;12.0;Feminine;Chocolate;Chocolate ganache;Buttercream;No;None;Cupcake;Daily;Celebration;Yes;Christmas;Cupcake;4.50 €
Adult;18.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Slice;Weekly;Wedding;No;None;Slice;3.60 €
Adult;22.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;Yes;Fruits;Wedding cake;Daily;Work event;Yes;Christmas;Wedding cake;96.30 €
Adult;20.0;Masculine;Carrot;Lemon curd;Ganache;No;None;Slice;Weekly;Wedding;No;None;Slice;4.20 €
Adult;28.0;Masculine;Red Velvet;Lemon curd;Ganache;No;None;Whole cake;Weekly;Celebration;No;None;Whole cake;24.40 €
Adult;59.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Monthly;Work event;Yes;Halloween;Slice;5.20 €
Adult;33.0;Feminine;Red Velvet;Lemon curd;Cream cheese frosting;Yes;Fruits;Slice;Weekly;Work event;No;None;Slice;4.90 €
Adult;44.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Monthly;Work event;No;None;Slice;1.50 €
Adult;26.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Sporadic;Wedding;No;None;Slice;2.60 €
Kid;17.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;No;None;Slice;Daily;Snack;No;None;Slice;5.60 €
Adult;47.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Slice;Weekly;Wedding;No;None;Slice;2.40 €
Kid;13.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Weekly;Celebration;No;None;Slice;2.80 €
Adult;42.0;Masculine;Lemon;Dulce de leche;Chocolate glaze;No;None;Whole cake;Sporadic;Celebration;No;None;Whole cake;22.90 €
Kid;15.0;Masculine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Fruits;Cupcake;Daily;Snack;No;None;Cupcake;4.40 €
Adult;39.0;Feminine;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Daily;Celebration;No;None;Whole cake;25.80 €
Adult;59.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Wedding;No;None;Slice;1.50 €
Adult;37.0;Masculine;Lemon;Cream cheese;Chocolate glaze;Yes;Fruits;Wedding cake;Daily;Work event;No;None;Wedding cake;43.80 €
Adult;57.0;Feminine;Carrot;Cream cheese;Ganache;No;;Whole cake;Weekly;Gathering;No;None;Whole cake;13.50 €
Kid;13.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;;Chocolate chips;Slice;Daily;Snack;Yes;Christmas;Slice;3.20 €
Adult;50.0;Masculine;Lemon;Cream cheese;Ganache;Yes;Chocolate chips;Wedding cake;Monthly;Celebration;No;None;Wedding cake;68.20 €
Adult;39.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Monthly;Work event;No;;Slice;5.00 €
Adult;59.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Weekly;Work event;Yes;Fall;Whole cake;14.50 €
Adult;37.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Weekly;Gathering;Yes;Easter;Wedding cake;50.00 €
Adult;65.0;Masculine;Carrot;Cream cheese;Chocolate glaze;No;None;Whole cake;Monthly;Work event;Yes;Halloween;Whole cake;18.40 €
Kid;8.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Cupcake;Monthly;Celebration;No;None;Cupcake;3.40 €
Adult;28.0;Feminine;Carrot;Dulce de leche;Ganache;;None;Slice;Daily;Gathering;No;None;Slice;1.50 €
Adult;45.0;Feminine;Red Velvet;Lemon curd;Cream cheese frosting;No;None;Whole cake;Weekly;Celebration;Yes;Christmas;Whole cake;24.70 €
Adult;56.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Whole cake;Weekly;Celebration;No;None;Whole cake;24.10 €
Adult;27.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Fruits;Whole cake;Weekly;Work event;No;None;Whole cake;26.50 €
Kid;17.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Slice;Weekly;Birthday;Yes;Valentine's Day;Slice;1.20 €
Adult;21.0;Feminine;Lemonn;Cream cheese;Ganache;Yes;Fruits;Slice;Weekly;Wedding;No;None;Slice;5.00 €
Kid;6.0;Feminine;Chocolate;Strawberry jam;;Yes;;Cupcake;Daily;Birthday;No;None;Cupcake;1.20 €
Adult;60.0;Feminine;Carrot;Dulce de leche;Ganache;Yes;Nuts;Slice;Weekly;Celebration;Yes;Fall;Slice;3.20 €
Adult;38.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;No;None;Whole cake;Daily;Work event;No;None;Whole cake;28.70 €
Adult;60.0;Feminine;Lemon;Lemon curd;Chocolate glaze;Yes;Chocolate chips;Wedding cake;Daily;Work event;No;None;Wedding cake;76.50 €
Adult;59.0;Masculine;Red Velvet;Cream cheese;Chocolate glaze;Yes;Fruits;Whole cake;Sporadic;Wedding;No;None;Whole cake;17.10 €
Kid;11.0;Masculine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Nuts;Slice;Daily;Celebration;No;None;Slice;2.80 €
Adult;61.0;Masculine;Red Velvet;Cream cheese;Ganache;No;None;Wedding cake;Daily;Gathering;No;None;Wedding cake;89.20 €
Adult;53.0;Feminine;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Daily;Work event;No;None;Wedding cake;78.30 €
Adult;52.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;No;None;Wedding cake;Monthly;Wedding;No;None;Wedding cake;46.20 €
Kid;11.0;Feminine;Red Velvet;Strawberry jam;Buttercream;Yes;Fruits;Slice;Sporadic;Celebration;No;None;Slice;4.00 €
Kid;10.0;Masculine;Chocolate;Chocolate ganache;Buttercream;No;None;Slice;Weekly;Snack;No;None;Slice;5.20 €
Adult;18.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;Yes;Edible flowers;Slice;Weekly;Celebration;No;None;Slice;4.30 €
Adult;65.0;Masculine;Lemon;Dulce de leche;Chocolate glaze;Yes;Nuts;Slice;Monthly;Gathering;No;None;Slice;4.30 €
Adult;24.0;Feminine;Red Velvet;Dulce de leche;Cream cheese frosting;Yes;Sprinkles;Slice;Sporadic;Work event;No;None;Slice;5.40 €
Adult;54.0;Masculine;Lemon;Dulce de leche;Ganache;No;None;Slice;Sporadic;Wedding;No;None;Slice;3.80 €
Adult;56.0;Masculine;Lemon;Lemon curd;Cream cheese frosting;Yes;Edible flowers;Wedding cake;Weekly;Work event;No;None;Wedding cake;57.60 €
Kid;10.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Weekly;Celebration;No;None;Cupcake;2.50 €
Adult;58.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Wedding;No;None;Whole cake;35.60 €
Adult;52.0;Masculine;Red Velvet;Cream cheese;Ganache;Yes;Fruits;Whole cake;Weekly;Work event;No;None;Whole cake;31.10 €
Adult;55.0;Masculine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Chocolate chips;Whole cake;Weekly;Celebration;Yes;Valentine's Day;Whole cake;16.50 €
Adult;38.0;Feminine;Lemon;Dulce de leche;Chocolate glaze;Yes;Edible flowers;Whole cake;Daily;Gathering;Yes;Easter;Whole cake;30.60 €
Adult;57.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Sprinkles;Slice;Weekly;Celebration;No;None;Slice;4.90 €
Adult;48.0;Masculine;Red Velvet;Lemon curd;Ganache;Yes;Chocolate chips;Wedding cake;Monthly;Wedding;No;None;Wedding cake;67.90 €
Adult;43.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Work event;No;None;Whole cake;17.90 €
Adult;50.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Slice;Daily;Work event;No;None;Slice;2.60 €
Adult;54.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Monthly;Gathering;No;None;Whole cake;29.90 €
Kid;5.0;Masculine;Red Velvet;Chocolate ganache;Buttercream;Yes;Edible flowers;Cupcake;Weekly;Birthday;No;None;Cupcake;3.40 €
Kid;10.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Weekly;Birthday;No;None;Cupcake;5.20 €
Adult;58.0;Feminine;Carrot;Cream cheese;Ganache;Yes;;Wedding cake;Daily;Work event;No;None;Wedding cake;80.60 €
Kid;9.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Chocolate chips;Slice;Sporadic;Snack;Yes;Fall;Slice;1.10 €
Adult;45.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;No;None;Whole cake;Weekly;Gathering;No;None;Whole cake;26.50 €
Adult;36.0;Masculine;Carrot;Dulce de leche;Ganache;Yes;Chocolate chips;Whole cake;Sporadic;Work event;No;None;Whole cake;34.20 €
Adult;49.0;Masculine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Monthly;Work event;No;None;Whole cake;29.50 €
;34.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Slice;Daily;Wedding;Yes;Christmas;Slice;3.40 €
Adult;62.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Wedding cake;Weekly;Wedding;Yes;Fall;Wedding cake;51.50 €
Adult;48.0;Masculine;Red Velvet;Cream cheese;;No;None;Wedding cake;Monthly;Work event;No;None;Wedding cake;60.80 €
Kid;6.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Slice;Daily;Celebration;Yes;Fall;Slice;10
Kid;8.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Edible flowers;Cupcake;Weekly;Birthday;No;None;Cupcake;4.30 €
Adult;40.0;Feminine;;Dulce de leche;Ganache;No;None;Wedding cake;Weekly;Work event;No;None;Wedding cake;94.20 €
Kid;8.0;Feminine;Red Velvet;Chocolate ganache;Buttercream;Yes;Chocolate chips;Cupcake;Daily;Birthday;No;None;Cupcake;5.40 €
Adult;50.0;Feminine;Lemon;Lemon curd;Cream cheese frosting;No;None;Whole cake;Daily;Celebration;Yes;Halloween;Whole cake;18.00 €
Adult;33.0;Feminine;Lemon;Cream cheese;Chocolate glaze;No;None;Slice;Monthly;Work event;No;None;Slice;4.60 €
Adult;41.0;Feminine;Red Velvet;Cream cheese;Ganache;Yes;Edible flowers;Whole cake;Sporadic;Gathering;No;None;Whole cake;35.00 €
Adult;18.0;Feminine;Carrot;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Celebration;No;None;Whole cake;34.50 €
Kid;13.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Slice;Daily;Birthday;No;None;Slice;5.70 €
Adult;40.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Edible flowers;Slice;Weekly;Wedding;No;None;Slice;2.70 €
Adult;44.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;Yes;Chocolate chips;Whole cake;Daily;Gathering;No;None;Whole cake;22.70 €
Adult;999.0;Masculine;Carrot;Dulce de leche;Chocolate glaze;No;None;Whole cake;Weekly;Celebration;No;None;Whole cake;25.90 €
Kid;10.0;Feminine;Chocolate;Strawberry jam;Chocolate glaze;Yes;Chocolate chips;Cupcake;Monthly;Celebration;No;None;Cupcake;3.10 €
Adult;41.0;Feminine;Lemon;Cream cheese;Ganache;No;None;Slice;Daily;Wedding;Yes;Valentine's Day;Slice;4.40 €
Adult;63.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;Yes;Nuts;Wedding cake;Daily;Wedding;No;None;Wedding cake;73.70 €
Adult;42.0;Feminine;Carrot;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Weekly;Wedding;Yes;Halloween;Wedding cake;97.90 €
Kid;7.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Monthly;Birthday;No;None;Cupcake;2.20 €
Adult;25.0;Feminine;Lemon;Cream cheese;Chocolate glaze;Yes;Edible flowers;Wedding cake;Daily;Work event;No;None;Wedding cake;43.90 €
Adult;35.0;Feminine;Red Velvet;Cream cheese;Cream cheese frosting;No;None;Wedding cake;Weekly;Wedding;Yes;Fall;Wedding cake;84.50 €
Adult;50.0;Feminine;Carrot;Lemon curd;Cream cheese frosting;No;None;Wedding cake;Weekly;Wedding;No;None;Wedding cake;69.70 €
Adult;53.0;Feminine;Carrot;Cream cheese;Ganache;No;None;Wedding cake;Monthly;Work event;No;None;Wedding cake;60.00 €
Adult;43.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Daly;Work event;Yes;Halloween;Wedding cake;56.90 €
Kid;12.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Sprinkles;Slice;Weekly;Snack;Yes;Christmas;Slice;5.80 €
Kid;7.0;Masculine;Red Velvet;Chocolate ganache;Chocolate glaze;Yes;Edible flowers;Slice;Weekly;Celebration;No;None;Slice;4.10 €
Adult;40.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Whole cake;Daily;Wedding;No;None;Whole cake;28.00 €
Adult;58.0;Feminine;Red Velvet;Dulce de leche;Chocolate glaze;No;None;Slice;Weekly;Celebration;Yes;Christmas;Slice;4.50 €
Adult;61.0;Feminine;Lemon;Cream cheese;Cream cheese frosting;No;None;Slice;Weekly;Celebration;No;None;Slice;2.70 €
Adult;25.0;Feminine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Monthly;Wedding;Yes;Christmas;Whole cake;30.50 €
Kid;4.0;Masculine;Red Velvet;Strawberry jam;Chocolate glaze;Yes;Nuts;Slice;Sporadic;Celebration;Yes;Halloween;Slice;5.50 €
Adult;25.0;Feminine;Lemon;Cream cheese;;No;None;Slice;Daily;Celebration;No;None;Slice;3.90 €
Kid;15.0;Feminine;Red Velvet;Chocolate ganache;Chocolate glaze;No;None;Cupcake;Sporadic;Birthday;Yes;Easter;Cupcake;3.60 €
Adult;40.0;Masculine;Carrot;Cream cheese;Ganache;No;None;Wedding cake;Sporadic;Wedding;No;None;Wedding cake;49.90 €
Adult;59.0;Feminine;Lemon;Dulce de leche;Ganache;No;None;Slice;Weekly;Gathering;No;None;Slice;2.00 €
Kid;8.0;Masculine;Chocolate;Strawberry jam;Buttercream;No;None;Slice;Weekly;Birthday;No;;Slice;4.80 €
Adult;18.0;Masculine;Red Velvet;Cream cheese;Cream cheese frosting;Yes;Fruits;Wedding cake;Monthly;Gathering;No;None;Wedding cake;82.50 €
Kid;7.0;Masculine;Chocolate;Chocolate ganache;Whipped cream;No;None;Cupcake;Daily;Celebration;Yes;Halloween;Cupcake;3.80 €
Adult;56.0;Masculine;Lemon;Dulce de leche;Cream cheese frosting;No;None;Whole cake;Sporadic;Gathering;Yes;Christmas;Whole cake;12.60 €
Kid;15.0;Feminine;Chocolate;Chocolate ganache;Chocolate glaze;Yes;Fruits;Cupcake;Daily;Snack;No;None;Cupcake;2.80 €
Adult;40.0;Feminine;;Lemon curd;Cream cheese frosting;Yes;;Slice;Sporadic;Work event;Yes;Easter;Slice;Free
Adult;45.0;Feminine;Red Velvet;Cream cheese;Ganache;No;None;Slice;Weekly;Celebration;Yes;Valentine's Day;Slice;5.40 €
Kid;17.0;Masculine;Red Velvet;Chocolate ganache;Whipped cream;Yes;Edible flowers;Slice;Daily;Birthday;No;None;Slice;3.40 €
Adult;19.0;Feminine;Red Velvet;Dulce de leche;Cream cheese frosting;No;None;Wedding cake;Daily;Work event;Yes;Halloween;Wedding cake;75.20 €
